"yr","site","nin.phase.strt","nin.str.strt","nin.phase.end","nin.str.end","mean.NDVI.win","mean.NDVI.spr","mean.NDVI.sum","mean.NDVI.fall","mean.NDVI.year"
1993,"broadleaf","no_event","no_event","no_event","no_event",0.684866666666667,0.692316666666667,0.683216666666667,0.77595,0.7090875
1993,"Lloyd","no_event","no_event","no_event","no_event",0.647683333333333,0.63855,0.636866666666667,0.65475,0.6444625
1993,"scrub","no_event","no_event","no_event","no_event",0.455916666666667,0.4296,0.384883333333333,0.542283333333333,0.453170833333333
1994,"broadleaf","nino","wk","no_event","no_event",0.72075,0.716883333333333,0.628766666666667,0.787483333333333,0.713470833333333
1994,"Lloyd","nino","wk","no_event","no_event",0.6358,0.61135,0.6337,0.681616666666667,0.640616666666667
1994,"scrub","nino","wk","no_event","no_event",0.390416666666667,0.453566666666667,0.402633333333333,0.499283333333333,0.436475
1995,"broadleaf","nina","wk","nino","wk",0.732566666666667,0.693066666666667,0.695666666666667,0.8147,0.734
1995,"Lloyd","nina","wk","nino","wk",0.640133333333333,0.6257,0.64825,0.6967,0.652695833333333
1995,"scrub","nina","wk","nino","wk",0.453083333333333,0.415883333333333,0.49765,0.530966666666667,0.474395833333333
1996,"broadleaf","no_event","no_event","nina","wk",0.694316666666667,0.702766666666667,0.68165,0.81335,0.723020833333333
1996,"Lloyd","no_event","no_event","nina","wk",0.651666666666667,0.650383333333333,0.651316666666667,0.675783333333333,0.6572875
1996,"scrub","no_event","no_event","nina","wk",0.486866666666667,0.4341,0.370766666666667,0.583633333333333,0.468841666666667
1997,"broadleaf","nino","vry.str","no_event","no_event",0.77465,0.735466666666667,0.65545,0.786233333333333,0.73795
1997,"Lloyd","nino","vry.str","no_event","no_event",0.653416666666667,0.61005,0.648983333333333,0.687416666666667,0.649966666666667
1997,"scrub","nino","vry.str","no_event","no_event",0.402616666666667,0.467283333333333,0.4426,0.535666666666667,0.462041666666667
1998,"broadleaf","nina","mod","nino","vry.str",0.745666666666667,0.722216666666667,0.701683333333333,0.775583333333333,0.7362875
