"yr","mo.no","mo.no.char","mo.char","site","NDVI.wks.a","NDVI.wks.b","NDVI.MVC.mo","day.num","date.","julian"
"1993",1,"1","Jan","broadleaf",0.7515,0.7201,0.7515,14,"1993-01-14",14
"1993",1,"1","Jan","Lloyd",0.6509,0.6367,0.6509,14,"1993-01-14",14
"1993",1,"1","Jan","scrub",0.4641,0.4515,0.4641,14,"1993-01-14",14
"1993",2,"2","Feb","broadleaf",0.6764,0.6128,0.6764,14,"1993-02-14",45
"1993",2,"2","Feb","Lloyd",0.6816,0.6544,0.6816,14,"1993-02-14",45
"1993",2,"2","Feb","scrub",0.4482,0.4255,0.4482,14,"1993-02-14",45
"1993",3,"3","Mar","broadleaf",0.6357,0.7127,0.7127,14,"1993-03-14",73
"1993",3,"3","Mar","Lloyd",0.5785,0.684,0.684,14,"1993-03-14",73
"1993",3,"3","Mar","scrub",0.4735,0.4727,0.4735,14,"1993-03-14",73
"1993",4,"4","Apr","broadleaf",0.769,0.7702,0.7702,14,"1993-04-14",104
"1993",4,"4","Apr","Lloyd",0.6455,0.6391,0.6455,14,"1993-04-14",104
"1993",4,"4","Apr","scrub",0.4286,0.4618,0.4618,14,"1993-04-14",104
"1993",5,"5","May","broadleaf",0.5996,0.5741,0.5996,14,"1993-05-14",134
"1993",5,"5","May","Lloyd",0.6406,0.5998,0.6406,14,"1993-05-14",134
"1993",5,"5","May","scrub",0.4453,0.3277,0.4453,14,"1993-05-14",134
"1993",6,"6","Jun","broadleaf",0.7163,0.7247,0.7247,14,"1993-06-14",165
"1993",6,"6","Jun","Lloyd",0.6535,0.6528,0.6535,14,"1993-06-14",165
"1993",6,"6","Jun","scrub",0.4043,0.5099,0.5099,14,"1993-06-14",165
"1993",7,"7","Jul","broadleaf",0.6987,0.6729,0.6987,14,"1993-07-14",195
"1993",7,"7","Jul","Lloyd",0.6675,0.6519,0.6675,14,"1993-07-14",195
"1993",7,"7","Jul","scrub",0.3547,0.3709,0.3709,14,"1993-07-14",195
"1993",8,"8","Aug","broadleaf",0.6835,0.67,0.6835,14,"1993-08-14",226
"1993",8,"8","Aug","Lloyd",0.6454,0.6413,0.6454,14,"1993-08-14",226
"1993",8,"8","Aug","scrub",0.3816,0.4066,0.4066,14,"1993-08-14",226
"1993",9,"9","Sep","broadleaf",0.5693,0.8049,0.8049,14,"1993-09-14",257
"1993",9,"9","Sep","Lloyd",0.6126,0.6025,0.6126,14,"1993-09-14",257
"1993",9,"9","Sep","scrub",0.2881,0.5074,0.5074,14,"1993-09-14",257
"1993",10,"10","Oct","broadleaf",0.8458,0.797,0.8458,14,"1993-10-14",287
"1993",10,"10","Oct","Lloyd",0.6201,0.6841,0.6841,14,"1993-10-14",287
"1993",10,"10","Oct","scrub",0.5018,0.5641,0.5641,14,"1993-10-14",287
"1993",11,"11","Nov","broadleaf",0.8114,0.7016,0.8114,14,"1993-11-14",318
"1993",11,"11","Nov","Lloyd",0.6839,0.6297,0.6839,14,"1993-11-14",318
"1993",11,"11","Nov","scrub",0.6211,0.5509,0.6211,14,"1993-11-14",318
"1993",12,"12","Dec","broadleaf",0.6912,0.8087,0.8087,14,"1993-12-14",348
"1993",12,"12","Dec","Lloyd",0.6585,0.6522,0.6585,14,"1993-12-14",348
"1993",12,"12","Dec","scrub",0.5072,0.5086,0.5086,14,"1993-12-14",348
"1994",1,"1","Jan","broadleaf",0.8102,0.7392,0.8102,14,"1994-01-14",14
"1994",1,"1","Jan","Lloyd",0.6734,0.6384,0.6734,14,"1994-01-14",14
"1994",1,"1","Jan","scrub",0.46,0.4108,0.46,14,"1994-01-14",14
"1994",2,"2","Feb","broadleaf",0.7805,0.7104,0.7805,14,"1994-02-14",45
"1994",2,"2","Feb","Lloyd",0.6771,0.6412,0.6771,14,"1994-02-14",45
"1994",2,"2","Feb","scrub",0.4065,0.3765,0.4065,14,"1994-02-14",45
"1994",3,"3","Mar","broadleaf",0.62,0.6642,0.6642,14,"1994-03-14",73
"1994",3,"3","Mar","Lloyd",0.625,0.5597,0.625,14,"1994-03-14",73
"1994",3,"3","Mar","scrub",0.3487,0.34,0.3487,14,"1994-03-14",73
"1994",4,"4","Apr","broadleaf",0.637,0.758,0.758,14,"1994-04-14",104
"1994",4,"4","Apr","Lloyd",0.5783,0.6571,0.6571,14,"1994-04-14",104
"1994",4,"4","Apr","scrub",0.376,0.4834,0.4834,14,"1994-04-14",104
"1994",5,"5","May","broadleaf",0.7625,0.7198,0.7625,14,"1994-05-14",134
"1994",5,"5","May","Lloyd",0.6068,0.6041,0.6068,14,"1994-05-14",134
"1994",5,"5","May","scrub",0.5307,0.4338,0.5307,14,"1994-05-14",134
